airport,date,hour,temperature_2m,precipitation,snowfall,wind_speed_10m,wind_gusts_10m,cloud_cover
TUN,2016-04-10,20,14.3,0.0,0.0,8.3,16.9,0
TUN,2016-04-11,8,14.9,0.0,0.0,11.5,23.8,0
TUN,2016-04-11,11,21.9,0.0,0.0,9.9,22.0,0
TUN,2016-04-11,13,24.8,0.0,0.0,7.6,22.3,0
TUN,2016-04-11,14,25.6,0.0,0.0,4.7,21.6,0
TUN,2016-04-11,18,22.7,0.0,0.0,10.3,22.0,6
TUN,2016-04-11,19,20.6,0.0,0.0,11.6,22.3,1
TUN,2016-04-11,20,18.9,0.0,0.0,12.2,20.2,0
TUN,2016-04-13,8,17.3,0.0,0.0,13.2,24.1,7
TUN,2016-04-13,7,16.8,0.0,0.0,12.5,19.1,8
TUN,2016-04-13,12,21.2,0.0,0.0,11.6,24.8,5
TUN,2016-04-13,13,21.3,0.0,0.0,12.7,25.9,1
TUN,2016-04-14,6,15.1,0.0,0.0,17.8,33.1,3
TUN,2016-04-14,7,15.4,0.0,0.0,17.6,33.1,11
TUN,2016-04-14,9,17.5,0.0,0.0,20.7,38.9,84
TUN,2016-04-14,13,20.4,0.0,0.0,19.5,41.0,40
TUN,2016-04-14,14,20.5,0.0,0.0,18.8,40.7,8
TUN,2016-04-14,18,18.5,0.0,0.0,14.2,31.3,0
TUN,2016-04-15,9,17.8,0.0,0.0,7.9,16.9,0
TUN,2016-04-15,13,23.0,0.0,0.0,14.0,25.6,0
TUN,2016-04-15,14,23.5,0.0,0.0,15.3,28.4,0
TUN,2016-04-15,15,23.5,0.0,0.0,16.3,30.2,4
TUN,2016-01-03,7,13.4,0.0,0.0,18.0,35.6,40
TUN,2016-01-10,19,15.6,0.0,0.0,3.1,14.4,59
TUN,2016-01-14,8,9.6,0.0,0.0,10.4,17.3,0
TUN,2016-01-17,7,9.3,0.0,0.0,22.4,49.7,31
TUN,2016-01-16,18,8.3,0.0,0.0,32.2,59.4,86
TUN,2016-01-23,16,14.3,0.0,0.0,14.5,30.2,99
TUN,2016-01-31,9,12.9,0.0,0.0,11.7,25.6,14
TUN,2016-02-01,15,17.4,0.0,0.0,24.8,48.6,70
TUN,2016-02-01,18,15.7,0.0,0.0,18.5,37.4,31
TUN,2016-02-03,12,17.5,0.0,0.0,5.5,16.9,0
TUN,2016-02-08,14,15.6,0.0,0.0,27.8,52.6,34
TUN,2016-02-19,7,8.7,0.0,0.0,8.4,14.0,1
TUN,2016-02-28,18,10.2,0.0,0.0,21.3,38.2,6
TUN,2016-03-10,13,14.8,0.0,0.0,12.0,25.9,99
TUN,2016-03-10,14,14.6,0.0,0.0,10.2,22.7,97
TUN,2016-03-12,17,11.9,1.2,0.0,28.3,56.5,99
TUN,2016-03-20,7,12.1,0.0,0.0,16.7,27.0,78
TUN,2016-03-27,15,18.9,0.0,0.0,6.4,20.5,2
TUN,2016-03-27,19,15.8,0.0,0.0,8.9,13.0,0
TUN,2016-04-02,8,16.8,0.0,0.0,15.9,34.6,88
TUN,2016-04-08,18,16.9,0.0,0.0,12.2,31.0,76
TUN,2016-04-10,12,17.6,0.0,0.0,9.4,28.4,9
TUN,2016-04-12,15,28.3,0.0,0.0,11.5,25.2,0
TUN,2016-04-18,6,15.2,0.0,0.0,11.5,18.0,95
TUN,2016-04-22,14,19.9,0.0,0.0,7.8,21.2,58
TUN,2016-04-25,14,17.6,0.0,0.0,33.4,63.0,18
TUN,2016-06-01,18,20.9,0.0,0.0,11.3,26.6,65
TUN,2016-06-03,12,27.1,0.0,0.0,7.4,23.8,95
TUN,2016-06-04,10,22.3,0.0,0.0,1.5,20.2,100
TUN,2016-06-04,13,22.7,0.0,0.0,8.4,30.6,91
TUN,2016-06-06,14,24.8,0.0,0.0,14.5,31.3,8
TUN,2016-06-12,8,23.7,0.0,0.0,13.6,26.6,95
TUN,2016-06-14,5,20.2,0.0,0.0,7.0,14.0,3
TUN,2016-06-14,6,20.4,0.0,0.0,5.9,13.7,15
TUN,2016-06-16,6,22.7,0.0,0.0,10.3,20.2,8
TUN,2016-06-16,7,23.4,0.0,0.0,9.5,19.1,0
TUN,2016-06-18,7,21.4,0.0,0.0,10.9,22.3,0
TUN,2016-07-02,6,21.8,0.0,0.0,7.2,15.1,47
TUN,2016-07-04,7,23.6,0.0,0.0,6.6,14.0,0
TUN,2016-07-12,12,31.0,0.0,0.0,10.2,23.0,0
TUN,2016-07-12,15,31.6,0.0,0.0,12.4,27.0,0
TUN,2016-07-14,8,24.5,0.0,0.0,26.2,48.2,1
TUN,2016-07-14,11,26.8,0.0,0.0,24.3,49.3,7
TUN,2016-07-14,12,27.3,0.0,0.0,25.0,50.0,4
TUN,2016-07-14,9,25.3,0.0,0.0,25.6,48.2,0
TUN,2016-07-14,15,27.4,0.0,0.0,28.2,51.1,0
TUN,2016-07-17,13,27.5,0.0,0.0,11.8,26.6,0
TUN,2016-07-24,14,29.1,0.0,0.0,12.4,28.8,26
TUN,2016-07-25,7,23.6,0.0,0.0,18.3,32.4,5
TUN,2016-07-26,12,29.2,0.0,0.0,17.4,36.0,1
TUN,2016-07-26,18,28.0,0.0,0.0,19.0,39.6,0
TUN,2016-07-27,12,29.7,0.0,0.0,17.2,37.4,0
TUN,2016-08-01,6,24.3,0.0,0.0,9.1,13.7,18
TUN,2016-08-02,14,30.0,0.0,0.0,24.2,47.2,0
TUN,2016-08-10,6,21.5,0.0,0.0,4.8,9.7,0
TUN,2016-08-13,10,25.6,0.0,0.0,14.4,30.6,20
TUN,2016-08-14,16,27.1,0.0,0.0,15.0,31.3,0
TUN,2016-08-14,18,26.1,0.0,0.0,15.8,31.7,0
TUN,2016-08-15,8,23.7,0.0,0.0,11.8,22.7,0
TUN,2016-08-19,8,25.7,0.0,0.0,7.1,15.5,67
TUN,2016-08-19,9,28.1,0.0,0.0,8.3,18.4,74
TUN,2016-08-19,12,33.2,0.0,0.0,10.0,23.0,77
TUN,2016-08-19,13,34.0,0.0,0.0,10.4,22.3,39
TUN,2016-08-19,14,34.3,0.0,0.0,11.7,21.6,5
TUN,2016-08-20,3,25.2,0.0,0.0,8.1,16.2,0
TUN,2016-08-20,7,24.6,0.0,0.0,7.6,15.1,0
TUN,2016-01-02,15,20.2,0.0,0.0,8.4,18.4,11
TUN,2016-01-03,16,16.6,0.0,0.0,17.9,42.1,87
TUN,2016-01-03,13,16.3,0.0,0.0,19.5,34.6,42
TUN,2016-01-06,12,13.9,0.0,0.0,25.5,42.8,41
TUN,2016-01-15,9,13.5,0.0,0.0,12.5,22.0,78
TUN,2016-01-22,9,10.9,0.0,0.0,8.6,17.6,12
TUN,2016-01-31,13,16.6,0.0,0.0,22.7,42.1,85
TUN,2016-02-01,16,17.2,0.0,0.0,22.9,46.8,52
TUN,2016-02-05,7,12.3,0.0,0.0,21.4,40.0,67
TUN,2016-02-05,12,14.7,0.0,0.0,23.5,49.7,85
TUN,2016-02-06,12,16.6,0.0,0.0,17.9,36.0,98
TUN,2016-02-08,12,14.8,0.0,0.0,26.6,51.1,35
TUN,2016-02-08,18,14.4,0.0,0.0,17.7,38.5,3
TUN,2016-02-29,18,13.0,0.0,0.0,18.5,39.6,35
TUN,2016-03-01,8,10.8,0.0,0.0,23.2,45.7,75
TUN,2016-03-14,11,13.9,0.0,0.0,18.4,37.4,25
TUN,2016-03-18,16,15.4,0.0,0.0,18.1,36.0,42
TUN,2016-03-20,13,23.2,0.0,0.0,13.6,31.7,10
TUN,2016-04-17,13,24.1,0.0,0.0,7.6,19.4,78
TUN,2016-05-31,12,24.5,0.0,0.0,8.4,26.6,98
