airport,month,band,prob,label,wx_wind_gust,wx_precip,wx_snow,wx_adverse
IST,7,calm,0.7737,Partly cloudy,24.8,0.0,0.0,0
IST,7,rough,0.2151,Strong wind,48.2,0.0,0.0,1
IST,7,severe,0.0112,Drizzle + strong wind,63.7,0.2,0.0,1
IST,8,calm,0.578,Drizzle,21.6,0.2,0.0,0
IST,8,rough,0.4167,Strong wind,49.0,0.0,0.0,1
IST,8,severe,0.0054,Drizzle + strong wind,63.4,0.5,0.0,1
IST,9,calm,0.7324,Clear,24.1,0.0,0.0,0
IST,9,rough,0.2532,Strong wind,50.0,0.0,0.0,1
IST,9,severe,0.0144,Drizzle + strong wind,67.7,0.2,0.0,1
IST,10,calm,0.8141,Clear,24.1,0.0,0.0,0
IST,10,rough,0.1801,Drizzle + strong wind,42.8,0.2,0.0,1
IST,10,severe,0.0058,Gale-force wind,68.0,0.0,0.0,1
IST,11,calm,0.731,Clear,24.1,0.0,0.0,0
IST,11,rough,0.2431,Strong wind,52.6,0.0,0.0,1
IST,11,severe,0.0259,Drizzle + strong wind,65.9,0.3,0.0,1
IST,12,calm,0.6819,Partly cloudy,25.6,0.0,0.0,0
IST,12,rough,0.2693,Strong wind,56.2,0.0,0.0,1
IST,12,severe,0.0488,Light snow + strong wind,77.4,0.6,0.07,1
LYS,1,calm,0.8168,Partly cloudy,15.8,0.0,0.0,0
LYS,1,rough,0.1783,Drizzle,29.5,0.6,0.0,1
LYS,1,severe,0.0049,Drizzle + strong wind,65.2,0.3,0.0,1
LYS,2,calm,0.8211,Partly cloudy,15.8,0.0,0.0,0
LYS,2,rough,0.1588,Strong wind,50.8,0.0,0.0,1
LYS,2,severe,0.0201,Gale-force wind,73.8,0.0,0.0,1
LYS,3,calm,0.8011,Overcast,18.4,0.0,0.0,0
LYS,3,rough,0.185,Strong wind,50.8,0.0,0.0,1
LYS,3,severe,0.0139,Gale-force wind,69.5,0.0,0.0,1
LYS,4,calm,0.8185,Drizzle,7.6,0.3,0.0,0
LYS,4,rough,0.1769,Strong wind,50.8,0.0,0.0,1
LYS,4,severe,0.0046,Gale-force wind,64.4,0.0,0.0,1
LYS,5,calm,0.8109,Partly cloudy,19.4,0.0,0.0,0
LYS,5,rough,0.1864,Strong wind,51.1,0.0,0.0,1
LYS,5,severe,0.0027,Gale-force wind,72.7,0.0,0.0,1
LYS,6,calm,0.8764,Overcast,18.4,0.0,0.0,0
LYS,6,rough,0.1231,Strong wind,47.2,0.0,0.0,1
LYS,6,severe,0.0005,Heavy rain,33.5,7.6,0.0,1
LYS,7,calm,0.8911,Overcast,18.7,0.0,0.0,0
LYS,7,rough,0.108,Strong wind,44.6,0.0,0.0,1
LYS,7,severe,0.0009,Rain,24.5,5.5,0.0,1
LYS,8,calm,0.9059,Partly cloudy,19.1,0.0,0.0,0
LYS,8,rough,0.0918,Strong wind,47.9,0.0,0.0,1
LYS,8,severe,0.0022,Rain,37.1,6.7,0.0,1
LYS,9,calm,0.9167,Clear,16.2,0.0,0.0,0
LYS,9,rough,0.0801,Strong wind,47.2,0.0,0.0,1
LYS,9,severe,0.0032,Gale-force wind,65.5,0.0,0.0,1
LYS,10,calm,0.8965,Clear,15.1,0.0,0.0,0
LYS,10,rough,0.1026,Drizzle,14.4,0.9,0.0,1
LYS,10,severe,0.0009,Drizzle + strong wind,62.6,0.1,0.0,1
LYS,11,calm,0.7907,Partly cloudy,13.7,0.0,0.0,0
LYS,11,rough,0.1907,Drizzle,19.8,0.8,0.0,1
LYS,11,severe,0.0185,Drizzle + strong wind,67.7,0.2,0.0,1
LYS,12,calm,0.8719,Clear,12.6,0.0,0.0,0
LYS,12,rough,0.1111,Drizzle,20.5,0.9,0.0,1
LYS,12,severe,0.017,Drizzle + strong wind,78.1,0.2,0.0,1
MIR,1,calm,0.8378,Partly cloudy,21.6,0.0,0.0,0
MIR,1,rough,0.1411,Strong wind,48.2,0.0,0.0,1
MIR,1,severe,0.0211,Gale-force wind,68.4,0.0,0.0,1
MIR,2,calm,0.8147,Clear,24.8,0.0,0.0,0
MIR,2,rough,0.1809,Strong wind,46.1,0.0,0.0,1
MIR,2,severe,0.0044,Drizzle + strong wind,64.8,0.1,0.0,1
MIR,3,calm,0.776,Overcast,25.6,0.0,0.0,0
MIR,3,rough,0.2007,Strong wind,47.9,0.0,0.0,1
MIR,3,severe,0.0233,Gale-force wind,74.2,0.0,0.0,1
MIR,4,calm,0.806,Clear,25.9,0.0,0.0,0
MIR,4,rough,0.1898,Strong wind,45.4,0.0,0.0,1
MIR,4,severe,0.0042,Gale-force wind,64.4,0.0,0.0,1
MIR,5,calm,0.8091,Overcast,26.6,0.0,0.0,0
MIR,5,rough,0.1801,Strong wind,45.4,0.0,0.0,1
MIR,5,severe,0.0108,Drizzle + strong wind,67.0,0.1,0.0,1
MIR,6,calm,0.831,Clear,25.2,0.0,0.0,0
MIR,6,rough,0.1681,Strong wind,44.3,0.0,0.0,1
MIR,6,severe,0.0009,Gale-force wind,73.1,0.0,0.0,1
MIR,7,calm,0.849,Partly cloudy,24.8,0.0,0.0,0
MIR,7,rough,0.151,Strong wind,45.7,0.0,0.0,1
MIR,8,calm,0.8996,Clear,23.0,0.0,0.0,0
MIR,8,rough,0.0999,Strong wind,44.6,0.0,0.0,1
MIR,8,severe,0.0004,Rain,23.8,5.0,0.0,1
MIR,9,calm,0.8384,Clear,23.8,0.0,0.0,0
MIR,9,rough,0.1588,Drizzle,28.1,0.5,0.0,1
MIR,9,severe,0.0028,Rain,23.8,5.1,0.0,1
MIR,10,calm,0.8499,Overcast,20.5,0.0,0.0,0
MIR,10,rough,0.1384,Drizzle,27.0,0.6,0.0,1
MIR,10,severe,0.0116,Drizzle + strong wind,71.6,0.2,0.0,1
MIR,11,calm,0.8171,Overcast,22.3,0.0,0.0,0
MIR,11,rough,0.1764,Strong wind,49.7,0.0,0.0,1
MIR,11,severe,0.0065,Gale-force wind,64.8,0.0,0.0,1
MIR,12,calm,0.8015,Clear,21.6,0.0,0.0,0
MIR,12,rough,0.1859,Strong wind,49.0,0.0,0.0,1
MIR,12,severe,0.0125,Gale-force wind,66.2,0.0,0.0,1
MRS,1,calm,0.6478,Clear,21.6,0.0,0.0,0
MRS,1,rough,0.2531,Strong wind,50.8,0.0,0.0,1
MRS,1,severe,0.099,Gale-force wind,70.9,0.0,0.0,1
MRS,2,calm,0.6137,Overcast,24.8,0.0,0.0,0
MRS,2,rough,0.2931,Strong wind,51.8,0.0,0.0,1
